Date,Time,DataID,Temp(C),Pressure(mmHg),DO(%),DO(mg/L),SPC(uS/cm),SAL(ppt),pH,NO3-N(mg/L),Timestamp,Flow,Depth,Latitude,NS,Longitude,WE
2023-06-29,13:55:30,specialfjord,7.1,755.1,110.1,11.36,38427.0,24.2,8.26,,20230629T135530,2.16,8.96,6204.45709,N,04851.57235,W
2023-06-29,13:56:00,specialfjord,7.1,755.1,109.8,11.35,38359.0,24.1,8.26,,20230629T135600,2.16,8.69,6204.45786,N,04851.57139,W
2023-06-29,13:56:30,specialfjord,7.1,755.1,109.6,11.33,38280.0,24.1,8.26,,20230629T135630,2.16,8.68,6204.45786,N,04851.5712,W
2023-06-29,13:57:00,specialfjord,7.1,755.1,109.5,11.34,38266.0,24.0,8.26,,20230629T135700,2.16,8.54,6204.45747,N,04851.57043,W
2023-06-29,13:57:30,specialfjord,7.1,755.2,109.3,11.3,38380.0,24.1,8.26,,20230629T135730,2.16,8.44,6204.45747,N,04851.57024,W
2023-06-29,13:58:00,specialfjord,7.1,755.1,109.1,11.27,38516.0,24.2,8.26,,20230629T135800,2.03,8.85,6204.45747,N,04851.57043,W
2023-06-29,13:58:30,specialfjord,7.1,755.1,109.1,11.26,38637.0,24.3,8.26,,20230629T135830,2.3,9,6204.45786,N,04851.57216,W
2023-06-29,13:59:00,specialfjord,7.1,755.1,108.8,11.23,38656.0,24.3,8.25,,20230629T135900,2.16,8.32,6204.45786,N,04851.5735,W
2023-06-29,13:59:30,specialfjord,7.1,755.2,108.8,11.22,38612.0,24.3,8.25,,20230629T135930,2.16,9.54,6204.45786,N,04851.57581,W
2023-06-29,14:00:00,specialfjord,7.1,755.1,108.8,11.26,37932.0,23.8,8.26,,20230629T140000,2.16,9.75,6204.45709,N,04851.5783,W
2023-06-29,14:00:30,specialfjord,7.2,755.3,108.7,11.28,37019.0,23.2,8.27,,20230629T140030,2.3,10.18,6204.4567,N,04851.58099,W
2023-06-29,14:01:00,specialfjord,7.2,755.3,108.9,11.31,37144.0,23.3,8.26,,20230629T140100,2.16,10.1,6204.45709,N,04851.58214,W
2023-06-29,14:01:30,specialfjord,7.1,755.3,108.8,11.29,37435.0,23.5,8.26,,20230629T140130,2.3,9.69,6204.45824,N,04851.58349,W
